Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
good,no balance,6,no problems with current credits at this bank,used car,1050,no savings,unemployed,less than 20,male:single,none,less than 1 year,car/other,35,at department store or mail order house,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,no,-0.856047331
good,no balance,30,no previous credits or paid back,items of furniture,1715,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.858175007
bad,no running account,36,no previous credits or paid back,items of furniture,2302,no savings,between 1 and 4 years,less than 20,male:divorced/living apart,none,greater than 7 years,savings contract with a building society/Life insurance,31,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.860062096
good,>=200 DM,30,paid back previous credits at this bank,items of furniture,5771,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,25,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.860482444
bad,no running account,12,no previous credits or paid back,used car,1282,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,20,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.866151795
good,>=200 DM,12,no previous credits or paid back,items of furniture,3077,no savings,between 1 and 4 years,between 25 and 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,52,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.871619036
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,930,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,65,no further running credits,rented,6 or more,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.872712359
good,no balance,48,hesistant payment of previous credits,other,8358,between 100 and 500 DM,less than 1 year,greater than 35,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.876594349
good,no balance,12,paid back previous credits at this bank,other,3124,no savings,less than 1 year,greater than 35,male:single,none,between 4 and 7 years,no assets,49,at other banks,rented,2 or 3,unskilled with permanant residence,0 to 2,no,yes,-0.879432328
good,>=200 DM,36,paid back previous credits at this bank,other,3535,no savings,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,37,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.88390087
good,no balance,12,paid back previous credits at this bank,other,1995,less than 100 DM,less than 1 year,less than 20,male:single,none,less than 1 year,savings contract with a building society/Life insurance,27,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.886235387
good,<= 200 DM,6,paid back previous credits at this bank,other,1323,less than 100 DM,greater than 7 years,between 25 and 35,male:divorced/living apart,none,greater than 7 years,savings contract with a building society/Life insurance,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.8867572
good,no balance,8,no previous credits or paid back,items of furniture,760,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,guarantor,between 1 and 4 years,no assets,44,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.88744835
bad,no balance,18,hesistant payment of previous credits,other,2278,less than 100 DM,less than 1 year,between 20 and 25,female:divorced/living apart/married,none,between 4 and 7 years,savings contract with a building society/Life insurance,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.888094863
bad,no running account,60,no problems with current credits at this bank,retraining,6836,no savings,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,63,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.897967759
bad,no balance,9,paid back previous credits at this bank,repair,1501,no savings,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,between 4 and 7 years,savings contract with a building society/Life insurance,34,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.902854779
good,no balance,8,no previous credits or paid back,retraining,907,no savings,less than 1 year,between 20 and 25,male:married/widowed,none,between 1 and 4 years,no assets,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.904232117
good,>=200 DM,12,no previous credits or paid back,used car,1736,no savings,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,no assets,31,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.913649393
bad,no running account,15,no previous credits or paid back,radio/television,1275,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,24,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.925598198
good,no running account,36,paid back previous credits at this bank,used car,5371,no savings,between 1 and 4 years,between 20 and 25,male:single,guarantor,between 1 and 4 years,car/other,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.927364309
good,>=200 DM,24,paid back previous credits at this bank,other,2463,less than 100 DM,between 4 and 7 years,less than 20,male:married/widowed,none,between 4 and 7 years,car/other,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.929496765
good,no balance,20,hesistant payment of previous credits,new car,6148,less than 100 DM,greater than 7 years,between 20 and 25,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,31,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.930211819
bad,>=200 DM,18,paid back previous credits at this bank,other,1530,no savings,between 1 and 4 years,between 20 and 25,male:single,none,between 1 and 4 years,car/other,32,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.933964038
good,>=200 DM,7,no problems with current credits at this bank,items of furniture,846,greater than 1000 DM,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,36,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.939486016
bad,no running account,24,paid back previous credits at this bank,other,1199,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,60,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,-0.942365939
good,>=200 DM,9,no previous credits or paid back,repair,3832,greater than 1000 DM,greater than 7 years,greater than 35,male:single,none,greater than 7 years,no assets,64,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.944123045
good,no running account,15,no previous credits or paid back,other,1721,no savings,less than 1 year,between 25 and 35,male:single,none,between 4 and 7 years,no assets,36,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.946819515
bad,no balance,36,no previous credits or paid back,used car,9034,less than 100 DM,less than 1 year,less than 20,male:single,co-applicant,less than 1 year,ownership of house or land,29,no further running credits,free apartment,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.971525229
good,>=200 DM,24,problematic running accounts,retraining,1559,no savings,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,40,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.971966879
good,no balance,24,no previous credits or paid back,used car,3069,less than 100 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,30,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.972953934
good,>=200 DM,24,no previous credits or paid back,other,2255,greater than 1000 DM,less than 1 year,less than 20,male:single,none,less than 1 year,car/other,54,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.982448203
good,no running account,24,no previous credits or paid back,new car,2910,no savings,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,ownership of house or land,34,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.985145759
bad,>=200 DM,24,no previous credits or paid back,retraining,4591,between 500 and 1000 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 4 and 7 years,car/other,54,no further running credits,rented,4 or 5,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.985625235
bad,<= 200 DM,15,paid back previous credits at this bank,items of furniture,1271,greater than 1000 DM,between 1 and 4 years,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,39,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.987973955
good,>=200 DM,21,no problems with current credits at this bank,used car,1591,less than 100 DM,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,no assets,34,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,no,yes,-0.988906274
good,>=200 DM,15,paid back previous credits at this bank,repair,1532,less than 100 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,savings contract with a building society/Life insurance,31,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.997021312
good,>=200 DM,24,paid back previous credits at this bank,new car,2197,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,43,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.997135398
bad,>=200 DM,21,no problems with current credits at this bank,retraining,2580,between 100 and 500 DM,less than 1 year,less than 20,male:single,none,between 1 and 4 years,no assets,41,at other banks,rented,one,unskilled with permanant residence,0 to 2,no,yes,-0.997449626
bad,no running account,12,paid back previous credits at this bank,other,3499,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,co-applicant,between 1 and 4 years,no assets,29,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.999810466
bad,>=200 DM,12,no previous credits or paid back,other,1386,between 100 and 500 DM,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,car/other,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.003241198
good,>=200 DM,15,paid back previous credits at this bank,items of furniture,1829,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,46,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.008139083
good,>=200 DM,36,no previous credits or paid back,items of furniture,2394,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,25,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.011476952
good,no balance,12,no problems with current credits at this bank,items of furniture,585,no savings,between 1 and 4 years,less than 20,male:married/widowed,co-applicant,greater than 7 years,no assets,20,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.021560379
good,>=200 DM,24,no problems with current credits at this bank,other,2032,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,60,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.026812958
good,<= 200 DM,21,no previous credits or paid back,other,2923,less than 100 DM,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,28,at other banks,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.038014452
good,no balance,18,no previous credits or paid back,retraining,4439,no savings,greater than 7 years,greater than 35,male:single,co-applicant,less than 1 year,no assets,33,at other banks,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.046449198
good,>=200 DM,6,no previous credits or paid back,other,672,no savings,unemployed,greater than 35,female:divorced/living apart/married,none,greater than 7 years,no assets,54,no further running credits,rented,one,unemployed/unskilled with no permaant residence,3 and more,yes,yes,-1.047097025
bad,no balance,18,no previous credits or paid back,used car,1924,greater than 1000 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,no assets,27,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.056283041
bad,<= 200 DM,24,no previous credits or paid back,other,947,no savings,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,ownership of house or land,38,at other banks,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-1.0636385
good,>=200 DM,6,problematic running accounts,other,783,greater than 1000 DM,between 1 and 4 years,greater than 35,male:single,guarantor,between 1 and 4 years,no assets,26,at department store or mail order house,rented,one,unskilled with permanant residence,0 to 2,no,yes,-1.073160509
bad,>=200 DM,36,no problems with current credits at this bank,items of furniture,4463,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,26,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.085814312
good,>=200 DM,24,no problems with current credits at this bank,used car,4151,less than 100 DM,between 1 and 4 years,between 25 and 35,male:single,none,between 4 and 7 years,car/other,35,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.093528446
bad,no running account,36,paid back previous credits at this bank,repair,8065,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,ownership of house or land,25,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.095257253
good,no running account,30,no previous credits or paid back,items of furniture,2522,no savings,greater than 7 years,greater than 35,male:single,guarantor,between 4 and 7 years,car/other,39,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-1.098623828
good,no balance,12,no previous credits or paid back,other,6078,no savings,between 4 and 7 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,32,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.102495827
good,no balance,20,no problems with current credits at this bank,new car,7057,greater than 1000 DM,between 4 and 7 years,between 20 and 25,male:single,none,greater than 7 years,car/other,36,at other banks,free apartment,2 or 3,executive/self-employed/higher civil servant,0 to 2,yes,yes,-1.105364284
bad,no running account,24,no previous credits or paid back,other,1207,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,24,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.1068848
good,no running account,12,no previous credits or paid back,items of furniture,2214,no savings,between 1 and 4 years,less than 20,male:single,none,between 4 and 7 years,car/other,24,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-1.107033624
good,no running account,24,problematic running accounts,new car,3632,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,guarantor,greater than 7 years,savings contract with a building society/Life insurance,22,at other banks,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,no,-1.111623915
good,<= 200 DM,36,no previous credits or paid back,items of furniture,3919,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,no assets,23,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.113210826
good,>=200 DM,36,no previous credits or paid back,items of furniture,2299,between 100 and 500 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,39,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.131186823
good,>=200 DM,30,paid back previous credits at this bank,items of furniture,3077,greater than 1000 DM,greater than 7 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,40,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-1.13258718
bad,no running account,12,no previous credits or paid back,repair,684,no savings,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,40,no further running credits,free apartment,one,unskilled with permanant residence,0 to 2,no,yes,-1.133027801
good,>=200 DM,24,no previous credits or paid back,used car,3062,between 100 and 500 DM,greater than 7 years,less than 20,male:single,none,between 4 and 7 years,ownership of house or land,32,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.140617485
bad,no balance,48,no previous credits or paid back,items of furniture,3060,no savings,between 4 and 7 years,less than 20,male:single,none,greater than 7 years,no assets,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.143752332
good,no running account,6,paid back previous credits at this bank,items of furniture,1957,no savings,between 4 and 7 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,31,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.144853777
bad,<= 200 DM,9,no previous credits or paid back,items of furniture,745,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,no assets,28,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-1.148638816
good,>=200 DM,21,no previous credits or paid back,new car,2476,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,46,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.156531901
good,<= 200 DM,24,paid back previous credits at this bank,retraining,1275,between 500 and 1000 DM,between 1 and 4 years,between 25 and 35,male:divorced/living apart,none,greater than 7 years,no assets,36,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.157293584
good,>=200 DM,24,no problems with current credits at this bank,new car,4679,no savings,between 4 and 7 years,between 20 and 25,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,35,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,yes,yes,-1.159997432
good,no balance,13,paid back previous credits at this bank,items of furniture,882,no savings,less than 1 year,less than 20,male:single,guarantor,greater than 7 years,no assets,23,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.162855163
good,>=200 DM,12,paid back previous credits at this bank,repair,2748,no savings,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,57,at other banks,owner,4 or 5,unskilled with permanant residence,3 and more,no,yes,-1.165279738
bad,no running account,18,no previous credits or paid back,other,976,no savings,less than 1 year,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,23,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-1.16666145
good,no balance,27,no previous credits or paid back,retraining,2528,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,car/other,32,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-1.16965511
good,>=200 DM,6,paid back previous credits at this bank,other,2080,between 100 and 500 DM,between 1 and 4 years,greater than 35,male:married/widowed,none,between 1 and 4 years,savings contract with a building society/Life insurance,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.169676852
bad,no balance,12,no previous credits or paid back,other,1295,no savings,less than 1 year,between 20 and 25,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,25,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.171215704
bad,no running account,18,paid back previous credits at this bank,other,3966,no savings,greater than 7 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,no assets,33,at other banks,free apartment,4 or 5,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.171647605
bad,>=200 DM,24,no previous credits or paid back,items of furniture,2397,between 100 and 500 DM,greater than 7 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,35,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.174848936
good,<= 200 DM,6,no previous credits or paid back,used car,2116,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,no assets,41,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.176587162
good,>=200 DM,18,paid back previous credits at this bank,new car,3229,greater than 1000 DM,unemployed,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,38,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.18941292
bad,>=200 DM,18,paid back previous credits at this bank,repair,1864,less than 100 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,no assets,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.198168167
good,>=200 DM,20,paid back previous credits at this bank,other,3485,greater than 1000 DM,less than 1 year,between 25 and 35,male:divorced/living apart,none,greater than 7 years,no assets,44,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.208679387
bad,no balance,18,paid back previous credits at this bank,other,884,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,36,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-1.21199635
good,no balance,24,paid back previous credits at this bank,repair,5743,no savings,less than 1 year,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,24,no further running credits,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.214751512
good,>=200 DM,24,no previous credits or paid back,items of furniture,1376,between 100 and 500 DM,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,28,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.217275748
good,<= 200 DM,12,no previous credits or paid back,used car,1474,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,car/other,33,at other banks,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-1.218234779
bad,>=200 DM,24,no problems with current credits at this bank,retraining,8648,no savings,less than 1 year,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,27,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.219963087
good,>=200 DM,24,paid back previous credits at this bank,other,1287,between 500 and 1000 DM,greater than 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,37,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.220350593
bad,no balance,12,hesistant payment of previous credits,used car,2969,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,car/other,25,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.225011345
good,>=200 DM,12,no previous credits or paid back,retraining,1076,no savings,between 1 and 4 years,between 25 and 35,male:married/widowed,none,between 1 and 4 years,no assets,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.225537418
good,>=200 DM,24,no previous credits or paid back,used car,929,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,at department store or mail order house,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.231328426
good,no balance,11,paid back previous credits at this bank,other,1322,between 500 and 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,40,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.243188724
good,no running account,24,no previous credits or paid back,used car,3021,no savings,between 1 and 4 years,between 25 and 35,male:divorced/living apart,none,between 1 and 4 years,no assets,24,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,-1.246927041
bad,no balance,60,no previous credits or paid back,other,7408,less than 100 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,car/other,24,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,no,yes,-1.250521033
good,>=200 DM,39,no previous credits or paid back,new car,2569,between 100 and 500 DM,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.262853077
good,no balance,30,paid back previous credits at this bank,other,2181,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,36,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.271532664
bad,no balance,12,no previous credits or paid back,used car,2762,greater than 1000 DM,greater than 7 years,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,car/other,25,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.276543755
bad,no running account,45,no previous credits or paid back,items of furniture,1845,no savings,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,23,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.277671296
good,no balance,24,no previous credits or paid back,items of furniture,1967,no savings,greater than 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,20,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.310002807
good,<= 200 DM,24,paid back previous credits at this bank,used car,3617,greater than 1000 DM,greater than 7 years,less than 20,male:single,co-applicant,greater than 7 years,ownership of house or land,20,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.314452158
good,>=200 DM,12,paid back previous credits at this bank,retraining,1185,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,no assets,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.316639728
good,>=200 DM,18,paid back previous credits at this bank,other,1055,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,car/other,30,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.322709787
good,no running account,15,no previous credits or paid back,used car,1845,no savings,less than 1 year,less than 20,female:divorced/living apart/married,guarantor,less than 1 year,car/other,46,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.338776872
bad,no running account,12,hesistant payment of previous credits,household appliances,1108,no savings,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,no assets,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.351610692
bad,no running account,15,hesistant payment of previous credits,other,950,no savings,greater than 7 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,33,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-1.360112072
bad,no balance,45,no previous credits or paid back,items of furniture,3031,less than 100 DM,between 1 and 4 years,less than 20,male:single,guarantor,greater than 7 years,car/other,21,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.362980648
good,no balance,9,paid back previous credits at this bank,used car,1919,no savings,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,35,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.364860459
good,no balance,21,no previous credits or paid back,used car,3976,greater than 1000 DM,between 4 and 7 years,between 25 and 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,35,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-1.373020788
good,>=200 DM,12,no previous credits or paid back,items of furniture,804,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,38,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-1.377016529
